subsample_ratio;accuracy;f1;iteration
 1.0000000000; 54.545; 50.000;1
 0.1000000000; 57.071; 50.867;5
 0.0500000000; 61.111; 57.923;4
 0.0500000000; 56.566; 55.670;3
 1.0000000000; 60.606; 57.143;5
 0.1000000000; 62.121; 58.101;1
 0.1000000000; 53.030; 50.267;2
 0.1000000000; 57.576; 52.809;7
 0.0500000000; 53.030; 48.045;1
 0.5000000000; 58.081; 56.995;6
 1.0000000000; 59.091; 58.462;3
 0.5000000000; 60.606; 55.172;7
 0.5000000000; 55.556; 51.111;2
 1.0000000000; 56.061; 45.963;2
 0.1000000000; 59.091; 59.296;3
 0.0500000000; 56.566; 49.412;2
 0.1000000000; 60.101; 56.354;4
 0.1000000000; 54.545; 46.429;0
 0.0500000000; 58.081; 54.645;7
 0.1000000000; 53.535; 51.064;6
 0.5000000000; 55.556; 51.111;4
 0.0500000000; 53.535; 50.538;6
 0.0500000000; 59.091; 50.307;0
 1.0000000000; 60.606; 53.571;6
 0.5000000000; 64.646; 59.770;5
 0.5000000000; 59.091; 46.358;0
 0.5000000000; 55.051; 50.279;1
 1.0000000000; 56.061; 50.286;7
 0.0500000000; 58.586; 54.945;5
 0.5000000000; 56.061; 54.450;3
 1.0000000000; 53.535; 47.727;4
 1.0000000000; 54.545; 44.444;0
 1.0000000000; 63.636; 56.098;19
 0.0500000000; 63.131; 63.682;27
 0.1000000000; 59.596; 52.941;15
 0.0500000000; 54.545; 50.549;2
 1.0000000000; 55.556; 55.102;3
 1.0000000000; 57.576; 54.348;15
 0.1000000000; 63.131; 56.805;7
 0.0500000000; 59.596; 51.220;0
 1.0000000000; 56.061; 46.626;1
 0.1000000000; 61.111; 54.438;2
 1.0000000000; 55.051; 45.399;0
 0.1000000000; 54.040; 40.523;8
 0.1000000000; 58.586; 53.933;22
 0.5000000000; 61.616; 56.322;8
 0.0500000000; 57.071; 55.026;3
 0.5000000000; 62.121; 57.627;20
 1.0000000000; 57.071; 51.977;13
 0.5000000000; 57.576; 52.809;9
 0.5000000000; 58.081; 50.888;11
 1.0000000000; 60.101; 55.866;14
 0.5000000000; 55.556; 52.174;10
 1.0000000000; 61.111; 54.971;5
 1.0000000000; 58.586; 53.409;11
 1.0000000000; 60.606; 57.143;30
 0.0500000000; 58.586; 52.874;13
 0.0500000000; 56.566; 54.737;9
 0.1000000000; 64.141; 59.429;25
 0.0500000000; 57.576; 50.000;8
 0.1000000000; 60.101; 57.297;11
 0.1000000000; 55.556; 53.191;26
 0.1000000000; 52.525; 45.349;0
 0.1000000000; 55.556; 51.648;30
 0.1000000000; 58.586; 56.842;31
 0.1000000000; 62.121; 57.627;18
 0.1000000000; 59.091; 56.684;29
 0.1000000000; 60.606; 55.172;13
 0.0500000000; 64.646; 57.317;14
 0.0500000000; 59.091; 55.738;30
 0.1000000000; 59.091; 49.057;17
 0.0500000000; 56.061; 51.397;24
 0.1000000000; 53.030; 49.180;16
 0.1000000000; 54.040; 51.337;20
 0.0500000000; 54.040; 50.811;31
 0.1000000000; 54.040; 51.337;1
 0.0500000000; 58.586; 54.444;11
 0.0500000000; 54.040; 50.273;29
 0.1000000000; 61.616; 55.814;19
 0.1000000000; 60.101; 55.866;21
 0.0500000000; 59.091; 50.307;17
 0.0500000000; 62.121; 55.621;21
 0.1000000000; 50.000; 40.719;23
 0.1000000000; 60.606; 55.172;24
 0.0500000000; 64.141; 57.485;10
 0.0500000000; 58.586; 51.190;28
 0.0500000000; 53.030; 48.045;25
 0.1000000000; 60.101; 54.857;10
 0.0500000000; 54.545; 48.864;23
 0.0500000000; 61.616; 56.322;18
 0.1000000000; 55.556; 49.425;9
 0.0500000000; 59.091; 52.632;12
 0.1000000000; 59.091; 53.714;12
 0.5000000000; 58.081; 51.462;21
 0.1000000000; 57.071; 50.292;6
 0.0500000000; 62.121; 57.627;19
 0.1000000000; 59.596; 52.381;14
 0.1000000000; 56.061; 50.286;28
 0.1000000000; 62.626; 58.427;5
 0.0500000000; 57.071; 49.102;15
 0.0500000000; 59.091; 55.738;5
 0.0500000000; 55.556; 48.837;1
 0.1000000000; 60.606; 60.204;3
 0.0500000000; 55.556; 49.425;26
 0.1000000000; 58.081; 54.645;4
 0.0500000000; 65.152; 62.295;20
 0.0500000000; 60.101; 57.754;4
 0.0500000000; 61.111; 57.459;6
 0.1000000000; 62.121; 61.140;27
 0.0500000000; 55.556; 51.648;7
 0.0500000000; 60.101; 58.639;22
 0.5000000000; 59.091; 56.684;1
 0.0500000000; 54.040; 45.509;16
 0.5000000000; 62.121; 59.016;25
 0.5000000000; 55.051; 51.892;5
 0.5000000000; 56.061; 50.286;15
 0.5000000000; 64.141; 62.827;3
 0.5000000000; 59.596; 50.000;17
 0.5000000000; 52.020; 42.424;0
 0.5000000000; 56.061; 53.476;22
 0.5000000000; 57.071; 52.514;26
 0.5000000000; 62.626; 51.948;7
 0.5000000000; 60.606; 53.571;12
 0.5000000000; 59.596; 52.941;28
 0.5000000000; 58.081; 57.436;27
 0.5000000000; 57.071; 53.039;30
 0.5000000000; 55.556; 50.562;23
 0.5000000000; 58.586; 48.750;2
 0.5000000000; 60.606; 57.143;13
 0.5000000000; 53.030; 47.458;6
 0.5000000000; 58.081; 56.545;4
 0.5000000000; 59.091; 53.179;16
 0.5000000000; 56.566; 49.412;14
 0.5000000000; 57.576; 51.163;18
 0.5000000000; 61.111; 54.438;19
 0.5000000000; 56.061; 52.459;24
 0.5000000000; 55.051; 52.406;31
 0.5000000000; 56.566; 52.747;29
 1.0000000000; 62.121; 60.317;10
 1.0000000000; 60.606; 58.065;20
 1.0000000000; 61.616; 59.574;26
 1.0000000000; 53.030; 47.458;9
 1.0000000000; 56.566; 51.685;2
 1.0000000000; 56.566; 49.412;25
 1.0000000000; 62.121; 59.893;22
 1.0000000000; 58.586; 54.444;23
 1.0000000000; 59.596; 55.056;31
 1.0000000000; 55.556; 53.191;28
 1.0000000000; 61.111; 62.802;27
 1.0000000000; 55.051; 51.366;29
 1.0000000000; 57.071; 55.497;4
 1.0000000000; 56.566; 50.575;18
 1.0000000000; 57.576; 51.163;6
 1.0000000000; 51.515; 47.253;24
 1.0000000000; 66.667; 60.241;8
 1.0000000000; 62.121; 59.459;21
 1.0000000000; 54.545; 48.864;16
 1.0000000000; 57.576; 44.737;17
 1.0000000000; 57.071; 50.292;7
 1.0000000000; 56.566; 51.685;12
