subsample_ratio;accuracy;f1;iteration
 0.0316227800; 62.626; 56.471;4
 0.0100000000; 62.626; 60.638;6
 0.0100000000; 58.081; 52.571;8
 0.0010000000; 56.566; 50.000;13
 0.0003162300; 56.566; 51.685;6
 0.0316227800; 53.535; 47.727;15
 0.0100000000; 55.051; 50.829;2
 0.0316227800; 54.040; 49.162;5
 0.0100000000; 62.626; 56.977;1
 0.0100000000; 61.616; 58.696;15
 0.0031622800; 63.131; 59.218;5
 0.0316227800; 56.061; 49.123;6
 0.0031622800; 58.081; 53.631;15
 0.0010000000; 56.061; 48.521;0
 0.0031622800; 56.061; 44.586;0
 0.0003162300; 60.101; 54.335;15
 0.0010000000; 54.040; 48.588;14
 0.0010000000; 57.576; 48.148;12
 0.0316227800; 47.980; 44.324;2
 0.0100000000; 58.586; 51.765;7
 0.0316227800; 53.535; 45.882;1
 0.0100000000; 53.030; 47.458;9
 0.0003162300; 53.535; 43.902;3
 0.0031622800; 57.576; 52.809;13
 0.0316227800; 56.566; 48.810;13
 0.0031622800; 55.556; 49.425;14
 0.0003162300; 61.616; 55.294;4
 0.0003162300; 48.990; 40.936;5
 0.0316227800; 63.636; 59.551;9
 0.0003162300; 57.576; 48.780;1
 0.0316227800; 49.495; 41.176;3
 0.0100000000; 64.141; 58.480;4
 0.0031622800; 56.061; 51.934;2
 0.0031622800; 57.071; 45.161;1
 0.0003162300; 55.051; 51.892;14
 0.0010000000; 63.131; 55.758;5
 0.0010000000; 58.081; 47.134;15
 0.0031622800; 57.071; 49.102;4
 0.0031622800; 56.061; 49.711;10
 0.0003162300; 54.545; 48.864;11
 0.0010000000; 62.626; 54.321;3
 0.0003162300; 52.525; 44.048;13
 0.0003162300; 53.535; 50.538;0
 0.1000000000; 58.081; 52.023;15
 0.0316227800; 59.091; 53.714;8
 0.0003162300; 57.071; 50.292;9
 0.1000000000; 59.596; 57.895;6
 0.0003162300; 55.051; 49.143;10
 0.1000000000; 51.010; 45.810;0
 0.0003162300; 56.566; 49.412;12
 0.1000000000; 55.556; 49.425;14
 0.1000000000; 56.566; 52.747;12
 0.0010000000; 58.586; 53.933;11
 0.1000000000; 56.061; 44.586;10
 0.1000000000; 58.081; 53.631;7
 0.1000000000; 59.091; 50.307;2
 0.1000000000; 57.576; 48.780;9
 0.1000000000; 54.040; 48.000;3
 0.1000000000; 59.596; 55.056;1
 0.1000000000; 56.061; 49.123;5
 0.1000000000; 59.091; 52.632;8
 0.1000000000; 52.020; 45.714;11
 0.1000000000; 58.081; 52.571;4
 0.1000000000; 54.545; 46.429;13
 0.0010000000; 52.020; 45.087;2
 0.3162277700; 61.616; 55.814;6
 0.0031622800; 56.061; 49.123;8
 0.3162277700; 55.556; 48.235;0
 0.0031622800; 57.576; 52.273;6
 0.3162277700; 64.141; 57.988;2
 0.0100000000; 56.566; 51.136;12
 0.3162277700; 63.131; 57.803;9
 0.0031622800; 56.566; 52.222;3
 0.3162277700; 55.556; 48.235;3
 0.0031622800; 60.101; 51.534;7
 0.3162277700; 57.071; 51.977;14
 0.0100000000; 59.091; 52.071;13
 0.3162277700; 56.566; 52.222;12
 0.0010000000; 54.040; 44.848;7
 0.3162277700; 58.586; 53.933;11
 0.0316227800; 61.616; 57.303;0
 0.3162277700; 58.586; 54.945;4
 0.0100000000; 52.020; 49.198;0
 0.3162277700; 57.576; 50.588;1
 0.0010000000; 61.616; 58.696;9
 0.3162277700; 59.091; 57.143;5
 0.0100000000; 57.576; 50.588;10
 0.3162277700; 56.061; 47.273;8
 0.0010000000; 51.010; 41.916;4
 0.3162277700; 53.535; 47.126;10
 0.0100000000; 63.636; 58.621;5
 0.3162277700; 56.061; 50.847;13
 0.0010000000; 54.040; 50.811;6
 0.3162277700; 53.030; 49.180;7
 0.0003162300; 60.101; 51.534;8
 0.3162277700; 55.051; 47.953;15
 0.0100000000; 57.576; 52.809;3
 1.0000000000; 56.566; 52.222;6
 0.0100000000; 58.081; 53.107;11
 1.0000000000; 56.566; 52.222;4
 0.0100000000; 54.545; 46.429;14
 1.0000000000; 56.566; 52.222;10
 0.0010000000; 56.566; 51.136;8
 1.0000000000; 56.566; 52.222;1
 0.0003162300; 55.556; 50.000;2
 1.0000000000; 56.566; 52.222;12
 0.0316227800; 59.091; 55.249;7
 1.0000000000; 56.566; 52.222;9
 0.0316227800; 58.586; 50.602;14
 1.0000000000; 56.566; 52.222;2
 0.0316227800; 59.091; 51.497;10
 1.0000000000; 56.566; 52.222;3
 0.0031622800; 55.051; 51.366;11
 1.0000000000; 56.566; 52.222;7
 0.0031622800; 59.596; 52.381;9
 1.0000000000; 56.566; 52.222;13
 0.0316227800; 61.616; 58.696;11
 1.0000000000; 56.566; 52.222;5
 0.0003162300; 53.535; 47.727;7
 1.0000000000; 56.566; 52.222;0
 0.0010000000; 59.596; 50.000;10
 1.0000000000; 56.566; 52.222;11
 0.0010000000; 56.566; 50.575;1
 1.0000000000; 56.566; 52.222;15
 0.0031622800; 62.626; 58.889;12
 1.0000000000; 56.566; 52.222;8
 0.0316227800; 52.525; 44.706;12
 1.0000000000; 56.566; 52.222;14
