subsample_ratio;accuracy;f1;iteration
 0.5000000000; 53.535; 50.000;6
 0.5000000000; 56.566; 51.685;3
 1.0000000000; 57.576; 52.809;7
 0.5000000000; 53.535; 52.083;1
 1.0000000000; 62.626; 61.053;2
 0.5000000000; 59.091; 50.909;5
 1.0000000000; 53.535; 51.064;6
 0.1000000000; 61.111; 55.491;0
 0.5000000000; 56.566; 52.222;2
 1.0000000000; 57.576; 54.348;4
 0.5000000000; 58.081; 53.107;0
 1.0000000000; 55.556; 55.556;3
 1.0000000000; 61.111; 56.000;5
 0.5000000000; 59.091; 52.071;4
 0.0500000000; 57.071; 51.977;5
 0.1000000000; 51.010; 44.571;2
 0.1000000000; 63.636; 58.140;5
 0.1000000000; 61.111; 57.459;4
 0.5000000000; 56.061; 50.286;7
 0.0500000000; 61.111; 58.824;1
 1.0000000000; 54.545; 49.438;0
 0.1000000000; 60.606; 55.682;1
 0.0500000000; 58.081; 55.135;3
 0.1000000000; 54.545; 52.128;6
 0.0500000000; 58.586; 53.933;2
 0.0500000000; 59.091; 51.497;0
 1.0000000000; 58.586; 54.945;1
 0.1000000000; 56.566; 50.000;7
 0.1000000000; 65.657; 63.043;3
 0.0500000000; 60.606; 58.947;6
 0.0500000000; 57.576; 52.273;4
 0.0500000000; 51.515; 47.253;7
 1.0000000000; 58.081; 45.752;18
 1.0000000000; 55.051; 51.366;0
 0.5000000000; 59.091; 55.738;4
 0.5000000000; 59.596; 55.056;26
 0.1000000000; 50.505; 46.154;29
 0.1000000000; 53.535; 49.451;6
 0.0500000000; 51.515; 48.387;27
 0.5000000000; 57.071; 50.867;8
 1.0000000000; 58.081; 56.085;26
 1.0000000000; 56.061; 45.283;12
 0.5000000000; 64.141; 58.480;7
 1.0000000000; 52.525; 47.191;15
 1.0000000000; 59.596; 49.367;21
 1.0000000000; 57.071; 50.292;19
 0.1000000000; 58.586; 54.945;20
 0.5000000000; 60.101; 54.857;5
 1.0000000000; 60.606; 52.439;17
 1.0000000000; 60.101; 50.314;8
 1.0000000000; 52.020; 46.328;28
 1.0000000000; 61.111; 58.824;22
 1.0000000000; 54.040; 49.724;16
 0.5000000000; 59.091; 54.237;23
 1.0000000000; 58.081; 51.462;23
 0.5000000000; 59.596; 54.545;27
 1.0000000000; 56.061; 55.385;31
 1.0000000000; 61.616; 56.818;25
 1.0000000000; 59.091; 54.237;4
 1.0000000000; 58.081; 52.023;24
 0.5000000000; 55.051; 49.143;22
 1.0000000000; 58.081; 59.512;27
 0.1000000000; 54.040; 48.588;22
