subsample_ratio;accuracy;f1;iteration
 0.0010000000; 54.545; 47.059;13
 0.1000000000; 53.535; 45.238;4
 0.0003162300; 63.131; 58.286;4
 0.1000000000; 59.091; 54.749;15
 0.0003162300; 57.576; 50.000;9
 0.1000000000; 55.556; 48.837;9
 0.0010000000; 51.010; 43.931;8
 0.1000000000; 59.091; 54.237;3
 0.0031622800; 63.131; 58.757;6
 0.1000000000; 59.091; 51.497;2
 0.0003162300; 55.051; 46.061;10
 0.1000000000; 54.040; 46.784;8
 0.0031622800; 59.596; 55.056;13
 0.1000000000; 56.061; 48.521;5
 0.0010000000; 50.505; 39.506;9
 0.1000000000; 57.071; 54.054;11
 0.0003162300; 58.081; 54.144;8
 0.1000000000; 58.081; 48.447;0
 0.0003162300; 53.535; 45.882;6
 0.1000000000; 55.051; 46.707;7
 0.0003162300; 46.465; 39.773;7
 0.1000000000; 57.071; 53.552;14
 0.0003162300; 53.030; 45.614;3
 0.1000000000; 53.030; 42.945;12
 0.0031622800; 63.636; 58.621;12
 0.1000000000; 58.586; 52.326;1
 0.0003162300; 51.010; 45.198;14
 0.1000000000; 60.101; 57.754;13
 0.0003162300; 59.091; 51.497;11
 0.1000000000; 52.020; 45.087;10
 0.0010000000; 56.566; 53.261;5
 0.0100000000; 62.626; 56.471;5
 0.3162277700; 59.091; 55.738;7
 0.0031622800; 51.010; 42.604;15
 0.0100000000; 61.111; 52.761;15
 0.3162277700; 59.091; 49.689;4
 0.0010000000; 59.596; 52.381;2
 0.0100000000; 55.556; 50.000;14
 0.3162277700; 53.030; 46.857;15
 0.0031622800; 56.566; 49.412;11
 0.0100000000; 59.091; 53.714;11
 0.3162277700; 58.081; 52.023;2
 0.0003162300; 50.000; 47.619;0
 0.1000000000; 59.596; 52.381;6
 0.0010000000; 54.545; 52.128;3
 0.0100000000; 59.091; 48.408;10
 0.3162277700; 55.556; 45.679;3
 0.0031622800; 55.051; 51.366;8
 0.0100000000; 57.576; 52.273;8
 0.3162277700; 55.051; 46.707;12
 0.0031622800; 57.071; 49.704;5
 0.0100000000; 52.525; 43.373;0
 0.3162277700; 58.081; 52.571;1
 0.0031622800; 55.051; 49.143;0
 0.0100000000; 59.091; 51.497;12
 0.3162277700; 55.051; 48.555;8
 0.0031622800; 58.081; 52.571;7
 0.0100000000; 60.606; 59.375;9
 0.3162277700; 55.556; 48.837;14
 0.0031622800; 58.081; 47.799;1
 0.0100000000; 52.020; 43.114;13
 0.3162277700; 54.040; 45.509;13
 0.0010000000; 54.545; 47.674;6
 0.0100000000; 52.020; 44.444;2
 0.3162277700; 59.596; 52.381;11
 0.0010000000; 53.030; 45.614;12
 0.0100000000; 55.051; 51.366;4
 0.3162277700; 62.121; 57.627;0
 0.0010000000; 54.040; 49.724;10
 0.0316227800; 52.020; 44.444;6
 0.3162277700; 56.061; 51.397;10
 0.0031622800; 58.586; 48.750;3
 0.0100000000; 56.566; 52.222;1
 0.3162277700; 57.071; 53.552;5
 0.0031622800; 59.091; 52.632;14
 0.0100000000; 62.121; 57.143;3
 0.3162277700; 50.000; 45.304;6
 0.0010000000; 53.030; 44.311;14
 0.0100000000; 58.586; 51.765;6
 0.3162277700; 61.111; 54.438;9
 0.0003162300; 60.101; 52.695;13
 0.0316227800; 56.061; 51.934;5
 1.0000000000; 59.596; 52.941;0
 0.0003162300; 55.051; 44.720;15
 0.0316227800; 52.525; 45.349;7
 1.0000000000; 59.596; 52.941;10
 0.0031622800; 61.111; 56.497;4
 0.0316227800; 59.596; 56.522;2
 1.0000000000; 59.596; 52.941;2
 0.0010000000; 59.091; 53.179;7
 0.0100000000; 59.596; 52.941;7
 1.0000000000; 59.596; 52.941;5
 0.0031622800; 62.626; 56.977;9
 0.0316227800; 56.061; 44.586;3
 1.0000000000; 59.596; 52.941;4
 0.0010000000; 52.525; 44.048;1
 0.0316227800; 60.101; 53.801;13
 1.0000000000; 59.596; 52.941;7
 0.0003162300; 50.505; 43.678;2
 0.0316227800; 58.081; 49.697;9
 1.0000000000; 59.596; 52.941;1
 0.0010000000; 50.505; 42.353;0
 0.0316227800; 54.545; 49.438;4
 1.0000000000; 59.596; 52.941;3
 0.0031622800; 57.071; 54.545;10
 0.0316227800; 56.061; 50.847;12
 1.0000000000; 59.596; 52.941;6
 0.0003162300; 57.071; 52.514;12
 0.0316227800; 56.061; 49.123;10
 1.0000000000; 59.596; 52.941;9
 0.0031622800; 60.606; 55.682;2
 0.0316227800; 59.596; 50.617;0
 1.0000000000; 59.596; 52.941;8
 0.0010000000; 59.091; 52.071;4
 0.0316227800; 56.061; 48.521;1
 1.0000000000; 59.596; 52.941;12
 0.0003162300; 63.131; 55.758;1
 0.0316227800; 62.626; 56.977;15
 1.0000000000; 59.596; 52.941;11
 0.0010000000; 54.040; 42.767;11
 0.0316227800; 53.030; 48.045;14
 1.0000000000; 59.596; 52.941;15
 0.0003162300; 57.576; 53.333;5
 0.0316227800; 61.111; 56.497;11
 1.0000000000; 59.596; 52.941;14
 0.0010000000; 53.030; 46.243;15
 0.0316227800; 55.051; 49.143;8
 1.0000000000; 59.596; 52.941;13
