subsample_ratio;accuracy;f1;iteration
 0.5000000000; 56.566; 51.136;4
 0.0100000000; 58.081; 52.571;4
 0.1000000000; 56.061; 48.521;1
 0.1000000000; 55.051; 50.829;6
 0.1000000000; 63.131; 55.215;0
 1.0000000000; 57.576; 56.250;3
 1.0000000000; 59.596; 58.763;2
 1.0000000000; 56.061; 51.934;4
 1.0000000000; 57.576; 52.809;1
 0.0050000000; 59.596; 56.522;6
 1.0000000000; 56.566; 48.193;5
 1.0000000000; 57.071; 50.867;7
 0.0100000000; 57.071; 53.039;1
 0.0100000000; 57.576; 51.163;7
 0.0050000000; 59.596; 51.807;5
 0.0500000000; 54.545; 50.000;4
 0.1000000000; 56.566; 50.000;5
 0.0500000000; 58.081; 50.888;5
 0.0500000000; 50.505; 47.872;2
 1.0000000000; 55.051; 46.061;6
 0.0005000000; 56.061; 49.711;4
 0.0500000000; 61.616; 58.696;1
 0.1000000000; 54.545; 48.276;4
 0.0500000000; 63.636; 57.143;0
 0.0500000000; 56.061; 52.459;6
 0.1000000000; 56.566; 48.810;7
 0.0005000000; 59.596; 52.941;2
 0.0500000000; 56.566; 55.208;3
 0.0005000000; 54.545; 54.082;3
 0.1000000000; 56.566; 56.122;3
 0.0010000000; 59.596; 50.617;4
 0.0010000000; 59.091; 56.216;2
 1.0000000000; 51.010; 43.931;0
 0.0050000000; 58.586; 52.326;1
 0.0010000000; 56.061; 52.459;1
 0.0005000000; 52.020; 40.994;7
 0.0005000000; 56.061; 47.273;5
 0.0010000000; 56.061; 51.397;6
 0.0010000000; 56.566; 51.136;0
 0.0100000000; 51.515; 48.936;5
 0.0500000000; 52.525; 51.042;7
 0.1000000000; 60.606; 51.852;2
 0.0010000000; 54.040; 46.784;7
 0.0005000000; 54.545; 48.276;0
 0.0050000000; 56.566; 46.914;7
 0.0050000000; 56.566; 54.737;3
 0.0050000000; 54.545; 48.276;0
 0.0005000000; 53.030; 49.730;6
 0.0005000000; 56.566; 50.000;1
 0.0050000000; 62.626; 57.471;2
 0.0050000000; 53.535; 47.727;4
 0.0010000000; 53.030; 53.266;3
 0.0100000000; 55.556; 55.102;6
 0.0100000000; 52.525; 53.922;3
 0.0100000000; 55.556; 49.425;0
 0.0100000000; 59.596; 54.545;2
 0.5000000000; 53.535; 51.579;1
 0.5000000000; 59.091; 51.497;7
 0.5000000000; 58.586; 52.326;5
 0.5000000000; 52.020; 50.777;6
 0.5000000000; 58.081; 53.107;3
 0.5000000000; 52.020; 49.735;2
 0.5000000000; 53.535; 42.500;0
 0.0010000000; 59.091; 55.249;5
