subsample_ratio;accuracy;f1;iteration
 0.0003162300; 63.636; 61.290;4
 0.0100000000; 59.091; 54.237;4
 0.0003162300; 57.576; 55.319;3
 0.0100000000; 59.091; 56.216;6
 0.0000316200; 53.535; 46.512;4
 0.0010000000; 58.081; 55.135;2
 0.0316227800; 61.111; 58.824;1
 0.0003162300; 58.586; 55.914;9
 0.0010000000; 58.586; 53.409;13
 0.0316227800; 53.030; 48.045;12
 0.0003162300; 63.131; 60.109;14
 0.0031622800; 61.616; 58.696;2
 0.0316227800; 59.091; 57.143;14
 0.0003162300; 63.131; 60.963;7
 0.0010000000; 61.111; 58.824;5
 0.0316227800; 58.586; 55.435;10
 0.0000316200; 59.596; 53.488;9
 0.0010000000; 60.101; 56.354;7
 0.0316227800; 62.626; 57.955;5
 0.0001000000; 59.596; 54.545;3
 0.0010000000; 62.121; 58.564;1
 0.0316227800; 61.111; 56.497;3
 0.0001000000; 56.566; 53.763;0
 0.0010000000; 67.677; 66.316;10
 0.0316227800; 52.525; 48.352;7
 0.0000316200; 61.616; 57.303;5
 0.0031622800; 59.091; 54.237;1
 0.0316227800; 61.111; 57.923;15
 0.0001000000; 60.101; 54.857;5
 0.0010000000; 58.586; 53.933;3
 0.0316227800; 56.061; 52.973;2
 0.0001000000; 52.020; 47.514;10
 0.0010000000; 58.586; 56.383;6
 0.0316227800; 56.061; 51.397;8
 0.0003162300; 59.091; 55.738;2
 0.0010000000; 56.566; 50.575;4
 0.0316227800; 62.626; 58.427;6
 0.0000316200; 54.545; 50.000;12
 0.0316227800; 53.535; 52.083;0
 0.0001000000; 66.667; 62.069;12
 0.0100000000; 59.091; 58.031;1
 0.1000000000; 58.081; 50.888;9
 0.0001000000; 62.626; 58.427;2
 0.0010000000; 60.606; 56.180;8
 0.0316227800; 62.121; 58.101;4
 0.0003162300; 57.576; 52.809;1
 0.0010000000; 61.616; 56.818;14
 0.1000000000; 57.576; 52.809;7
 0.0003162300; 60.606; 57.143;8
 0.0010000000; 65.657; 63.830;15
 0.1000000000; 61.616; 59.140;1
 0.0003162300; 59.091; 52.071;12
 0.0031622800; 58.586; 51.190;4
 0.1000000000; 64.646; 62.766;14
 0.0000316200; 58.081; 53.107;1
 0.0100000000; 55.556; 54.167;10
 0.1000000000; 60.606; 60.204;10
 0.0000316200; 57.071; 52.514;3
 0.0010000000; 58.586; 57.292;12
 0.0316227800; 59.596; 55.056;9
 0.0003162300; 60.606; 57.143;5
 0.0010000000; 54.040; 45.509;11
 0.1000000000; 57.071; 46.541;2
 0.0003162300; 56.566; 53.763;0
 0.0031622800; 63.636; 58.140;9
 0.1000000000; 57.071; 52.514;15
 0.0003162300; 58.586; 53.933;10
 0.0031622800; 56.061; 54.450;5
