subsample_ratio;accuracy;f1;iteration
 0.0000100000; 57.071; 55.959;51
 0.0001000000; 63.636; 60.440;7
 0.0003162000; 58.586; 53.409;2
 0.0010000000; 63.131; 60.541;17
 0.0031620000; 58.081; 55.135;27
 0.0000100000; 55.556; 51.648;59
 0.0001000000; 55.556; 52.688;2
 0.0001000000; 61.111; 58.824;50
 0.0010000000; 61.616; 57.778;31
 0.0031620000; 59.596; 59.184;63
 0.0000100000; 63.131; 55.758;39
 0.0001000000; 54.040; 50.273;0
 0.0003162000; 58.586; 54.444;43
 0.0010000000; 62.121; 59.459;62
 0.0031620000; 55.051; 49.143;56
 0.0000100000; 57.576; 52.273;6
 0.0000316200; 54.040; 48.000;42
 0.0001000000; 65.657; 61.798;41
 0.0010000000; 61.111; 53.333;32
 0.0031620000; 58.586; 55.435;38
 0.0000100000; 60.606; 53.012;33
 0.0000316200; 62.626; 56.977;46
 0.0003162000; 58.586; 52.874;34
 0.0010000000; 62.121; 58.564;61
 0.0100000000; 55.556; 46.988;17
 0.0000100000; 52.020; 45.714;0
 0.0001000000; 58.081; 52.571;10
 0.0003162000; 64.141; 63.212;7
 0.0010000000; 61.111; 58.378;59
 0.0031620000; 61.111; 60.513;55
 0.0000316200; 58.586; 54.444;0
 0.0000316200; 55.051; 51.366;18
 0.0003162000; 59.596; 55.056;21
 0.0010000000; 62.626; 60.215;5
 0.0031620000; 60.606; 56.180;57
 0.0000100000; 54.040; 46.154;15
 0.0000316200; 56.566; 48.193;53
 0.0001000000; 63.131; 60.109;60
 0.0010000000; 56.566; 53.261;26
 0.0031620000; 51.010; 47.568;50
 0.0000100000; 57.576; 47.500;35
 0.0000316200; 58.081; 53.107;31
 0.0001000000; 56.566; 53.763;47
 0.0010000000; 61.616; 58.242;44
 0.0031620000; 59.091; 54.237;43
 0.0000100000; 53.030; 48.045;28
 0.0000316200; 55.556; 51.648;24
 0.0001000000; 55.051; 50.829;52
 0.0010000000; 59.091; 54.237;43
 0.0031620000; 61.111; 61.307;58
 0.0000316200; 56.061; 51.934;5
 0.0000316200; 57.071; 55.026;19
 0.0003162000; 60.606; 56.667;27
 0.0010000000; 61.616; 57.303;52
 0.0031620000; 60.101; 55.367;61
 0.0000100000; 56.566; 53.763;37
 0.0000316200; 62.626; 57.471;9
 0.0000316200; 61.111; 53.892;11
 0.0000316200; 57.071; 51.977;13
 0.0000316200; 57.576; 51.724;20
 0.0000316200; 54.545; 47.059;63
 0.0001000000; 63.131; 55.758;26
 0.0001000000; 57.576; 54.348;29
 0.0001000000; 56.566; 50.575;34
 0.0003162000; 56.566; 53.261;51
 0.0031620000; 57.576; 55.319;9
 0.0100000000; 56.061; 49.123;16
 0.0000100000; 54.040; 46.154;2
 0.0000316200; 52.020; 47.514;47
 0.0003162000; 58.081; 50.888;17
 0.0010000000; 65.657; 63.441;47
 0.0031620000; 55.051; 55.276;49
 0.0000100000; 54.545; 50.549;11
 0.0001000000; 60.606; 57.609;5
 0.0003162000; 62.121; 59.459;24
 0.0010000000; 56.061; 52.973;49
 0.0031620000; 57.071; 53.552;60
 0.0000100000; 50.505; 47.872;49
 0.0001000000; 56.566; 53.261;25
 0.0001000000; 66.162; 61.272;55
 0.0010000000; 59.596; 55.056;29
 0.0031620000; 54.040; 50.273;62
 0.0000316200; 52.525; 44.048;7
 0.0000316200; 59.091; 52.632;23
 0.0003162000; 62.121; 59.016;6
 0.0010000000; 58.586; 54.945;42
 0.0100000000; 62.626; 58.427;6
 0.0000100000; 55.556; 48.235;8
 0.0000316200; 62.626; 58.889;28
 0.0001000000; 58.586; 52.326;59
 0.0010000000; 66.667; 66.327;34
 0.0031620000; 58.081; 53.631;37
 0.0100000000; 60.606; 56.180;36
 0.0000100000; 60.606; 57.143;34
 0.0000316200; 55.051; 49.143;8
 0.0000316200; 53.030; 49.730;12
 0.0000316200; 56.061; 50.847;14
 0.0000316200; 55.556; 44.304;25
 0.0001000000; 59.091; 55.738;22
 0.0001000000; 62.626; 54.878;27
 0.0001000000; 60.606; 56.667;30
 0.0001000000; 61.111; 56.000;31
 0.0001000000; 57.576; 54.839;32
 0.0001000000; 55.556; 50.562;33
 0.0001000000; 58.081; 55.615;37
 0.0001000000; 59.596; 54.023;39
 0.0001000000; 57.071; 53.039;45
 0.0001000000; 59.596; 55.056;63
 0.0003162000; 54.040; 48.588;28
 0.0003162000; 61.111; 57.459;45
 0.0003162000; 58.081; 57.436;49
 0.0003162000; 58.586; 56.383;50
 0.0003162000; 59.596; 52.941;53
 0.0003162000; 61.616; 56.322;54
 0.0003162000; 62.121; 59.459;55
 0.0003162000; 59.091; 50.307;58
 0.0003162000; 57.576; 55.319;61
 0.0010000000; 55.556; 52.688;1
 0.0010000000; 65.152; 60.571;20
 0.0010000000; 58.081; 53.107;38
 0.0010000000; 57.071; 53.039;55
 0.0010000000; 60.606; 57.609;63
 0.0031620000; 58.081; 55.615;6
 0.0031620000; 61.111; 56.497;8
 0.0031620000; 59.596; 58.763;10
 0.0031620000; 60.101; 57.754;13
 0.0031620000; 54.545; 48.864;26
 0.0031620000; 62.121; 59.016;41
 0.0031620000; 56.566; 53.763;59
 0.0100000000; 57.071; 55.026;7
 0.0100000000; 57.071; 55.959;20
 0.0100000000; 54.040; 49.724;24
 0.0100000000; 57.071; 50.867;29
 0.0100000000; 58.081; 56.995;52
 0.0000100000; 61.616; 60.417;27
 0.0000316200; 63.636; 57.143;10
 0.0000316200; 60.101; 53.254;15
 0.0001000000; 57.576; 50.000;14
 0.0001000000; 60.101; 56.354;28
 0.0001000000; 63.131; 53.503;35
 0.0001000000; 57.071; 51.429;46
 0.0003162000; 58.586; 54.444;48
 0.0003162000; 63.131; 58.757;52
 0.0003162000; 60.606; 57.609;56
 0.0003162000; 59.091; 55.738;59
 0.0031620000; 59.596; 55.556;2
 0.0031620000; 63.131; 63.317;44
 0.0100000000; 58.081; 54.645;26
 0.0000100000; 53.030; 46.243;3
 0.0000316200; 56.061; 52.973;45
 0.0001000000; 53.030; 47.458;56
 0.0010000000; 62.121; 60.733;48
 0.0100000000; 56.061; 53.476;11
 0.0000100000; 57.071; 48.485;5
 0.0001000000; 59.091; 56.684;12
 0.0003162000; 60.606; 58.065;18
 0.0010000000; 58.081; 56.545;30
 0.0100000000; 60.101; 56.831;0
 0.0000100000; 51.010; 43.275;29
 0.0000316200; 59.091; 56.684;33
 0.0003162000; 64.141; 59.887;19
 0.0010000000; 56.061; 52.973;10
 0.0031620000; 57.071; 51.429;54
 0.0100000000; 65.657; 61.798;35
 0.0000100000; 51.010; 45.810;50
 0.0001000000; 54.040; 51.852;20
 0.0001000000; 57.576; 54.348;49
 0.0010000000; 59.091; 56.684;22
 0.0031620000; 61.616; 59.140;14
 0.0100000000; 61.616; 55.294;25
 0.0000100000; 55.556; 49.425;19
 0.0000316200; 56.061; 49.123;61
 0.0003162000; 60.606; 54.651;36
 0.0010000000; 64.646; 61.538;57
 0.0100000000; 54.545; 52.632;4
 0.0000100000; 55.556; 48.837;60
 0.0001000000; 60.101; 58.639;11
 0.0003162000; 60.606; 56.180;39
 0.0010000000; 58.586; 54.444;40
 0.0100000000; 58.081; 53.631;5
 0.0000100000; 56.061; 51.934;14
 0.0001000000; 59.091; 56.684;13
 0.0001000000; 62.626; 56.471;58
 0.0010000000; 63.636; 58.140;23
 0.0100000000; 54.040; 52.356;13
 0.0100000000; 61.111; 59.259;58
 0.0000100000; 50.505; 44.318;44
 0.0000316200; 62.626; 54.878;57
 0.0003162000; 62.121; 59.893;23
 0.0010000000; 64.646; 62.366;53
 0.0100000000; 59.596; 56.989;2
 0.0000100000; 61.111; 52.761;20
 0.0001000000; 56.061; 51.934;9
 0.0003162000; 58.081; 54.144;13
 0.0010000000; 60.606; 54.651;39
 0.0100000000; 60.606; 55.172;1
 0.0000100000; 52.020; 45.714;55
 0.0000316200; 58.081; 54.645;40
 0.0003162000; 54.040; 48.588;42
 0.0031620000; 62.121; 57.143;0
 0.0100000000; 55.556; 51.111;10
 0.0000100000; 51.010; 46.409;40
 0.0001000000; 57.576; 55.789;24
 0.0001000000; 61.616; 59.140;51
 0.0010000000; 57.071; 55.497;41
 0.0100000000; 55.556; 54.639;8
 0.0000100000; 58.586; 51.765;56
 0.0000316200; 58.081; 52.571;50
 0.0003162000; 61.111; 57.459;40
 0.0031620000; 60.101; 58.201;1
 0.0100000000; 62.626; 60.215;12
 0.0000100000; 58.586; 52.874;42
 0.0001000000; 63.131; 59.669;23
 0.0003162000; 54.545; 52.128;26
 0.0010000000; 60.101; 59.067;37
 0.0100000000; 59.091; 54.749;9
 0.0000100000; 51.010; 43.275;58
 0.0001000000; 60.101; 55.866;1
 0.0003162000; 67.172; 63.277;9
 0.0003162000; 58.081; 58.291;60
 0.0031620000; 67.172; 66.321;16
 0.0100000000; 58.081; 50.299;42
