subsample_ratio;accuracy;f1;iteration
 0.0005000000; 65.657; 62.637;1
 0.0005000000; 58.081; 55.135;6
 0.0000500000; 58.081; 55.135;1
 0.0050000000; 55.556; 48.235;0
 0.0000100000; 53.030; 51.813;3
 0.0010000000; 62.121; 58.564;1
 0.0050000000; 58.586; 59.000;6
 0.0050000000; 52.525; 47.778;4
 0.0005000000; 61.111; 52.761;4
 0.0050000000; 65.657; 65.306;3
 0.0050000000; 56.061; 50.286;1
 0.0050000000; 57.576; 51.163;7
 0.0000100000; 58.586; 51.765;0
 0.0050000000; 57.071; 51.977;5
 0.0000100000; 59.091; 59.296;6
 0.0050000000; 59.596; 54.545;2
 0.0000500000; 60.606; 58.065;4
 0.0005000000; 61.616; 54.762;0
 0.0100000000; 53.030; 52.792;3
 0.0010000000; 62.121; 57.143;3
 0.0100000000; 51.010; 45.198;2
 0.0010000000; 64.141; 59.887;5
 0.0005000000; 59.091; 53.714;2
 0.0100000000; 62.121; 59.893;4
 0.0001000000; 61.616; 57.303;0
 0.0010000000; 59.596; 55.056;4
 0.0100000000; 59.091; 52.071;1
 0.0100000000; 57.576; 49.398;0
 0.0100000000; 59.091; 51.497;7
 0.0010000000; 59.596; 56.044;2
 0.0005000000; 54.040; 48.000;5
 0.0100000000; 59.596; 53.488;5
 0.0010000000; 60.606; 56.180;0
 0.0001000000; 61.111; 51.572;7
 0.0001000000; 56.061; 49.123;1
 0.0100000000; 56.566; 51.685;6
 0.0001000000; 54.040; 49.724;4
 0.0001000000; 59.596; 56.522;3
 0.0001000000; 48.990; 45.989;5
 0.0005000000; 60.606; 54.651;3
 0.0000500000; 60.606; 51.250;0
 0.0010000000; 58.081; 48.447;7
 0.0000500000; 57.071; 50.867;6
 0.0010000000; 62.121; 56.647;6
 0.0000100000; 60.606; 54.118;7
 0.0000500000; 54.040; 54.726;3
 0.0000100000; 60.606; 56.180;2
 0.0001000000; 57.576; 54.348;6
 0.0000100000; 54.040; 47.399;4
 0.0005000000; 57.576; 51.163;7
 0.0000500000; 52.020; 45.714;7
 0.0000100000; 56.566; 51.136;5
 0.0000500000; 55.556; 48.837;5
 0.0001000000; 65.152; 60.571;2
 0.0000500000; 59.091; 53.714;2
 0.0000100000; 54.040; 51.337;1
